Epoch,Accuracy,Loss (train),Loss (test)
1,0.829444468,0.5330299139,0.6614198685
2,0.9495139122,0.1900942177,0.1600484848
3,0.9458333254,0.3932599425,0.1325602531
4,0.9640972018,0.1294776648,0.1057025641
5,0.9642361403,0.1307482719,0.1130762398
6,0.9880555272,0.1287491769,0.0366300456
7,0.9729166627,0.0829904303,0.0846770927
8,0.990416646,0.0905850828,0.0273162629
9,0.9510416389,0.0805037394,0.1679904759
10,0.9912499785,0.0590986423,0.0234634541
11,0.9871527553,0.0651151165,0.0400478765
12,0.9872221947,0.0607576482,0.0411825478
13,0.9827083349,0.0656940416,0.0617329888
14,0.9910416603,0.0385537744,0.0281076748
15,0.9854166508,0.0487470552,0.0526247025
16,0.9888888597,0.0411923081,0.0421564691
17,0.9877777696,0.0580016784,0.0381367356
18,0.9888888597,0.0532332286,0.0347871147
19,0.9938194156,0.0414772369,0.0228299741
20,0.9900000095,0.0378568396,0.0372181982
21,0.9868749976,0.0346246287,0.0445078015
22,0.9911805391,0.0414643176,0.0269517824
23,0.9912499785,0.0388682932,0.0277846605
24,0.9902083278,0.0441468805,0.0353258289
25,0.9896527529,0.0522133,0.0317018591
26,0.9856250286,0.0320213288,0.0439463295
27,0.9679861069,0.0370669067,0.0841089115
28,0.9909027815,0.0314397253,0.032799989
29,0.9858333468,0.0323861539,0.0446409173
30,0.9345833063,0.0284833703,0.248815611
31,0.9897222519,0.040681649,0.0374319516
32,0.9911805391,0.0370492637,0.0295747388
33,0.9714583158,0.031882111,0.0881671757
34,0.9697222114,0.0270466916,0.1052670851
35,0.9947916865,0.0216656495,0.0194516163
36,0.9775000215,0.0334818102,0.0809849799
37,0.9887499809,0.0381307676,0.0409760103
38,0.9920833111,0.0142452391,0.0422493666
39,0.9704861045,0.0465545468,0.0956673101
40,0.9893055558,0.0073491782,0.0773293078
41,0.9931250215,0.0515871234,0.0261139292
42,0.9936805367,0.018382309,0.0310186893
43,0.9914583564,0.0758107305,0.0346550643
44,0.9871527553,0.0707312822,0.043732971
45,0.9847221971,0.0207111761,0.0716766044
46,0.9931250215,0.0443523936,0.0336819328
47,0.9772222042,0.014146992,0.1249996126
48,0.9867361188,0.035287939,0.0443678498
49,0.9934722185,0.0231022611,0.0272994265
50,0.9725694656,0.0310881138,0.0913266614
51,0.9889583588,0.0476257838,0.0349098817
52,0.9925694466,0.0228071045,0.0297466759
53,0.9911805391,0.0270514153,0.0298360381
54,0.9924305677,0.0287691317,0.0280491132
55,0.9953472018,0.0198497977,0.0228489339
56,0.9875694513,0.0417109169,0.03766964
57,0.9875000119,0.0565944649,0.0529207997
58,0.9942361116,0.0277102608,0.0282388609
59,0.9943055511,0.0145639805,0.0272948686
60,0.9899305701,0.0364517085,0.0443181545
61,0.9934027791,0.0131376702,0.0320583694
62,0.992638886,0.0484298207,0.032946568
63,0.9886111021,0.0712654367,0.0339488387
64,0.9929166436,0.0204146747,0.0259754658
65,0.9953472018,0.006630111,0.0216178726
66,0.9949305654,0.0311089419,0.0252292138
67,0.9908333421,0.0217637978,0.0289354213
68,0.9927777648,0.045163475,0.0308920536
69,0.9886111021,0.0275986958,0.0555971637
70,0.9738194346,0.0207732618,0.1657647341
71,0.9927083254,0.022598885,0.031652201
72,0.9159722328,0.0358776525,0.3249518871
73,0.9955555797,0.0139339622,0.0152232461
74,0.9910416603,0.0474625006,0.0285251345
75,0.9940277934,0.0102659082,0.0214276277
76,0.9909722209,0.0279637426,0.0343982466
77,0.9903472066,0.040173389,0.03631147
78,0.9916666746,0.0100801205,0.0602512322
79,0.9808333516,0.1233393103,0.0805401206
80,0.9854166508,0.0128812585,0.0965498686
81,0.9877083302,0.049247276,0.0382850021
82,0.9932639003,0.0232441314,0.0236431174
83,0.9719444513,0.0328573845,0.2499808073
84,0.9784027934,0.0342596024,0.0689514354
85,0.9927777648,0.0086575579,0.0260999463
86,0.9579861164,0.0462778099,0.1855864376
87,0.9934027791,0.0287992824,0.0290627647
88,0.9886111021,0.0221730862,0.0531614423
89,0.9862499833,0.045416858,0.0575297996
90,0.9902777672,0.0268349331,0.0552075393
